"Player Name","Apps","Sub In","Goals","Assists","Average Goals per match","Average Assists per match","Yellow","Red","SpG","AW","MoM","Tackle","Int","Fouls","Off Won","Clr","Was Dribbled","Blk Shots","OG","Key Passes","Dribbles","Fouled","Offs","Disp","Trn","Avg. Passes","Pass Suc%","Crosses","LB","TB","Ballond'OrNominee"
"Cristiano Ronaldo",42,0,37,11,"0,880952380952381","0,261904761904762",5,0,"5,6","1,2928571429",19,"0,2","0,330952381","0,630952381",0,"0,469047619","0,2928571429","0,130952381",0,"1,2238095238","0,9928571429","1,7238095238","1,2","1,6095238095","1,7928571429","28,2095238095","82,1357142857","0,3619047619","0,369047619","0,0619047619","Yes"
"Lionel Messi",41,2,48,11,"1,11627906976744","0,255813953488372",6,0,"5,05853659","0,1780487805",18,"0,787804878","0,156097561","0,443902439",0,0,"0,5317073171","0,1",0,"2,256097561","3,5682926829","2,2780487805","0,1219512195","2,6","1,4","49,6073170732","80,4634146341","0,3658536585","2,7658536585","0,556097561","Yes"
"Neymar Jr",39,0,17,19,"0,435897435897436","0,487179487179487",11,1,"3,2","0,3692307692",12,"1,4153846154","0,2769230769","1,2461538462",0,"0,1230769231","0,6384615385",0,0,"2,9769230769","5,6","4,0615384615","0,5846153846","2,9846153846","2,7846153846","50,7","76,1076923077","2,1538461538","2,0615384615","0,3692307692","Yes"
"Leonardo Bonucci",37,3,4,0,"0,1",0,8,0,"0,64054054","1,09189189",2,"1,2081081081","2,0108108108","0,7810810811","0,4594594595","3,4189189189","0,7189189189","0,4297297297",0,"0,3297297297","0,1","0,6297297297","0,0702702703","0,1702702703","0,2594594595","64,2081081081","86,6648648649","0,1","7,9891891892",0,"Yes"
"Isco",23,13,11,8,"0,305555555555556","0,222222222222222",5,0,"1,14347826","0,2",6,"1,4043478261","0,5130434783","0,6434782609",0,"0,0434782609","1,0347826087",0,0,"1,1565217391","1,9956521739","1,5956521739","0,1217391304","1,4565217391","1,4086956522","41,3347826087","89,747826087","0,2782608696","1,6130434783","0,2347826087","Yes"
"Kylian Mbappe",23,15,21,8,"0,552631578947368","0,210526315789474",2,0,"1,82608696","0,247826087",6,"0,247826087","0,1260869565","0,2739130435",0,"0,1739130435","0,2",0,0,"0,9956521739","1,3347826087","0,7739130435","0,8","1,1","1,8739130435","11,1826086957","75,9086956522","0,2","0,2739130435","0,0260869565","Yes"
"Eden Hazard",36,0,16,5,"0,444444444444444","0,138888888888889",3,0,"2,1","0,6",13,"0,5","0,8","0,5",0,"0,1","0,4",0,0,"2,4",4,"2,8","0,2","1,7",2,"48,6","84,2","0,5","3,2","0,1","Yes"
"Luka Modric",33,3,1,3,"0,0277777777777778","0,0833333333333333",4,0,"0,9","0,4",2,"1,3333333","1,96666666","0,9333333",0,"0,36666666","0,8","0,1666666",0,"1,266666666","1,96666666","1,5",0,"1,23333333","0,86666666","58,73333333","89,16666666","0,4333333","3,9",0,"Yes"
"Paulo Dybala",36,6,15,7,"0,357142857142857","0,166666666666667",3,0,"2,6777777777","0,1",7,"0,61111111","0,61666666","0,72777777",0,0,"0,683333333","0,072222222",0,"1,7611111111","2,277777777","2,005555555","0,37222222","1,905555555",2,"35,95","85,4555555","0,84444444","2,37222222","0,3","Yes"
"Marcelo",37,4,2,12,"0,0487804878048781","0,292682926829268",3,0,"1,00810811","0,3297297297",3,"1,7378378378","1,5675675676","0,5702702703","0,2891891892","1,0189189189","1,3","0,1297297297",0,"1,6783783784","1,7567567568","0,8108108108","0,1","0,7810810811","1,0297297297","51,0513513514","82,2540540541","1,2513513514","3,4783783784","0,0702702703","Yes"
"N’Golo Kante",35,0,1,1,"0,0285714285714286","0,0285714285714286",9,0,"0,8","0,5",1,"3,6","2,4","1,5","0,1","1,2","1,3","0,1",0,"0,6",1,"0,4",0,"0,8","1,3","60,6","88,8",0,"3,9","0,1","Yes"
"Luis Suárez",43,1,32,15,"0,727272727272727","0,340909090909091",10,0,"3,16976744","0,3627906977",4,"0,5837209302","0,2790697674","1,088372093",0,"0,6790697674","0,3255813953","0,0790697674",0,"1,5906976744","0,8744186047","1,3837209302","1,4953488372","0,9627906977","2,08372093","24,9209302326","74,1302325581","0,1581395349","0,9","0,0790697674","Yes"
"Sergio Ramos",39,0,8,2,"0,205128205128205","0,0512820512820513",12,1,"1,21538","2,643589744",2,"1,7256410256","2,169230769","1,1717948718","0,6","3,5564102564","0,487194872","0,5282051282",2,"0,2564102564","0,2153846154","1,158974359","0,1","0,1846153846","0,443589744","61,5512820513","89,2615384615","0,0564102564","5,358974359",0,"Yes"
"Philippe Coutinho",28,3,13,7,"0,419354838709677","0,225806451612903",2,0,"3,4","0,2",8,"1,1","0,6","0,6",0,"0,2","1,5",0,0,"2,1","2,3","1,2","0,1","1,8","1,8","45,2","83,9","1,2","2,3","0,2","Yes"
"Dries Mertens",34,9,33,11,"0,767441860465116","0,255813953488372",7,0,"4,00588","0,135294118",13,"0,6823529412","0,25941176","1,3411764706",0,"0,3","0,4882352941","0,1352941176",1,"1,5117647059","1,5411764706","1,6529411765","0,5176470588","0,9","1,629411765","22,9352941176","76,6705882353","0,1647058824","0,5882352941","0,1823529412","Yes"
