"SubIn","Goals","Assists","AverageGoalspermatch","AverageAssistspermatch","Yellow","Red","SpG","AW","Tackle","Int","Fouls","OffWon","Clr","WasDribbled","BlkShots","OG","KeyPasses","Dribbles","Fouled","Offs","Disp","Trn","Avg.Passes","PassSuc%","Crosses","LB","TB","Ballond'OrNominee"
4,64,15,"1.032258065","0.241935484",13,0,"7.087096774","1.632258065","0.529032258","0.261290323","0.761290323","0.025806452","0.674193548","0.209677419","0.025806452",1,"1.716129032","1.85483871","2.322580645","1.087096774","1.732258065","1.764516129","33.82903226","78.38064516","0.274193548","0.716129032","0.183870968","Yes"
7,62,18,"1.148148148","0.333333333",1,0,"4.774074074","0.22037037","0.57962963","0.3","0.359259259",0,0,"0.238888889",0,0,"1.501851852","3.494444444","2.157407407","0.438888889","2.437037037","1.116666667","53.26851852","85.30185185","0.22037037","1.753703704","0.37962963","Yes"
6,17,23,"0.326923077","0.442307692",6,0,"2.3","0.446153846","1.069230769","0.988461538","1.048076923",25,"0.117307692","1.142307692","0.076923077",0,"2.755769231","4.390384615","2.332692308","0.430769231","3.244230769","1.415384615","52.97307692","86.02692308","1.392307692","2.915384615","0.301923077","Yes"
1,48,21,"0.786885246","0.344262295",14,2,"4.673770492","2.132786885","0.555737705","0.4","2.07704918",0,"0.940983607","0.367213115","0.085245902",0,"1.918032787","0.785245902","1.296721311","1.614754098","2.144262295","2.467213115","41.55245902","74.49344262","0.329508197","1.721311475","0.329508197","Yes"
2,22,16,"0.578947368","0.421052632",6,0,3,"0.65",1,"0.35","1.9",0,0,"0.45",0,0,"1.85","3.25","4.6","0.8","1.8","2.3","39.65","83.76488294","0.55","0.8","0.35","Yes"
14,5,20,"0.079365079","0.317460317",6,0,"1.32467998","0.046111396","1.419150026","0.548643113","0.613415259",0,"0.307629288","0.492780338","0.080952381",0,"1.376036866","2.518023554","1.72734255","0.065335381","1.475985663","0.773476703","74.14126984","91.04755428","0.128827445","3.225652842","0.518228367","Yes"
5,36,10,"0.654545455","0.181818182",9,0,"3.538181818","1.265454545","0.601818182","0.338181818","1.136363636",0,"1.227272727","0.210909091","0.16",0,"1.567272727","0.76","1.216363636","1.130909091","1.941818182","1.229090909","25.41272727","79.48727273","1.076363636","1.032727273","0.090909091","Yes"
10,15,9,"0.405405405","0.243243243",1,0,"3.135135135","0.454054054","1.172972973","0.875675676","1.040540541",0,"0.235135135","0.902702703","0.032432432",0,"1.92972973","2.4","1.464864865","0.516216216","1.572972973","1.056756757","31.29189189","83.15675676","1.051351351","0.697297297","0.454054054","Yes"
2,31,14,"0.607843137","0.274509804",10,0,"4.376470588","1.547058824","0.878431373","1.052941176","0.743137255","0.080392157","1.466666667","0.390196078","0.119607843",1,"2.01372549","1.654901961","1.156862745","0.292156863","1.388235294","1.52745098","32.31568627","78.61293775","1.651260504","1.229971989","0.178431373","Yes"
1,9,12,"0.155172414","0.206896552",10,0,"1.934482759","0.35862069","2.055172414","1.489655172","0.967241379",0,"0.420689655","1.255172414","0.124137931",0,"2.637931034","1.134482759","1.612068966","0.055172414","1.256896552","0.505172414","71.95517241","87.14651479","1.977586207","9.432758621","0.722413793","Yes"
1,38,1,"0.745098039","0.019607843",12,0,"3.458823529","1.839215686","0.421568627","0.154901961","1.939215686",0,"0.605882353","0.066666667","0.096078431",0,"0.78627451","0.892156863","2.070588235","0.943137255","2.690196078","2.774509804","22.62156863","81.21568627","0.096078431","0.623529412","0.066666667","Yes"
0,17,9,"0.309090909","0.163636364",10,0,"1.989090909","0.92","1.316363636","1.014545455","1.283636364",0,"0.730909091","0.996363636","0.054545455",0,"1.287272727","1.112727273","0.909090909","0.018181818","1.207272727","0.770909091","77.54181818","89.20925075","0.134545455","5.490909091","0.305454545","Yes"
4,45,11,"0.737704918","0.180327869",4,1,"3.52295082","3.359016393","0.47704918","0.26557377","2.150819672",0,"0.363934426","0.31147541","0.093442623",0,"1.275409836","1.927868852","2.301639344","0.780327869","2.749180328","2.601639344","24.40655738","71.71311475","0.172131148","0.457377049","0.306557377","Yes"
2,0,18,0,"0.327272727",3,0,"0.498181818","0.569090909","1.792727273","1.696363636","0.516363636","0.147272727","1.232727273","1.078181818","0.130909091",0,"1.487272727","0.909090909","0.652727273","0.105454545","0.738181818","0.292727273","67.61818182","89.56545455","0.941818182","4.867272727","0.181818182","Yes"
8,8,13,"0.137931034","0.224137931",0,0,"1.146551724","0.068965517","0.677586207","0.706896552","0.068965517","0.018965517","0.346551724","0.415517241",0,0,"1.982758621","0.596551724","0.684482759","0.051724138","0.705172414","0.856896552","100.4206897","94.35539255","1.079310345","7.6","0.427586207","Yes"
11,14,24,"0.245614035","0.421052632",6,0,"1.005263158","0.20877193","0.88245614","0.477192982","0.664912281",0,"0.043859649","0.571929825","0.026315789",0,"2.926315789","1.149122807","1.229824561","0.464912281","1.757894737","1.650877193","44.9877193","85.31052632","1.387719298","1.405263158","0.429824561","Yes"
2,10,8,"0.2","0.16",10,0,1396,1392,2796,"1.32",1384,64,644,"1.42",204,0,996,916,"2.06",216,1084,984,73136,88524,452,8132,236,"Yes"
7,28,19,"0.49122807","0.333333333",1,0,"2.471929825","1.547368421","1.129824561","0.60877193","1.243859649",0,"0.31754386","0.780701754","0.028070175",0,"1.705263158","1.221052632","1.331578947","0.619298246","1.714035088","1.498245614","30.54385965","76.91403509","0.761403509","0.678947368","0.171929825","Yes"
3,48,10,"0.827586207","0.172413793",14,0,"5.239655172","0.482758621","1.243103448","0.546551724","1.65",0,"0.160344828","0.522413793","0.112068966",0,"2.398275862","2.687931034","1.968965517","1.179310345","2.520689655","2.5","35.19827586","75.17743914","0.577586207","1.944827586","0.437931034","Yes"
8,51,5,"0.822580645","0.080645161",15,0,"3.996774194","0.662903226","1.027419355","0.524193548","1.398387097",0,"1.34516129","0.569354839","0.148387097",0,"0.846774194","0.859677419","1.267741935","0.94516129","1.056451613","1.775806452","21.16612903","80.37096774","0.175806452","1.114516129","0.253225806","Yes"
0,4,0,"0.081632653",0,6,1,"0.77755102",2,"1.746938776","2.765306122","0.708163265","0.597959184","5.569387755","0.259183673","0.734693878",0,"0.251020408","0.263265306","1.063265306",0,"0.195918367","0.073469388","52.50204082","89.3877551",0,"5.383673469","0.026530612","Yes"
8,18,18,"0.272727273","0.272727273",4,0,"1.840909091","0.345454545","0.837878788","0.987878788","0.6",0,"0.237878788","0.677272727",0,0,"2.106060606","2.563636364","2.418181818","0.092424242","1.883333333","1.859090909","42.81060606","83.58193302","0.548484848","1.136363636","0.066666667","Yes"
3,0,7,0,175,5,0,"2.2075","0.3","1.3175","0.3925","0.7925",0,"0.3","0.3",0,0,"2.0175","1.82",2,"0.37","1.5325","1.1325","32.8125","80.6325","1.3475","1.41","0.0925","No"
3,7,6,"0.269230769","0.230769231",1,0,"1.192307692","0.338461538","0.923076923","0.807692308","0.419230769",0,"0.188461538","0.576923077","0.076923077",0,"1.161538462","0.423076923",1,"0.226923077","1.85","1.146153846","43.41923077","89.00769231","0.346153846","1.811538462","0.265384615","No"
4,6,3,"0.222222222","0.111111111",3,0,"2.6","0.1","1.3","0.6","1.1",0,"0.2","0.9",0,0,"1.6","1.4","0.9","0.6","1.7","1.2","21.6","80.8","1.2","0.9",0,"No"
0,7,9,"0.189189189","0.243243243",3,0,"2.459459459","2.035135135","1.532432432","1.502702703","0.716216216",0,"0.883783784","1.5","0.116216216",0,"1.635135135","1.283783784","1.837837838","0.167567568","1.448648649","1.02972973","42.30810811","69.2972973","0.951351351","2.086486486","0.251351351","No"
15,8,2,"0.228571429","0.057142857",9,0,"2.35","0.55",875,"0.25",625,0,"0.1","0.15",25,0,725,275,1225,75,375,1475,11625,"77.55",75,"0.35",0,"No"
8,0,1,0,"0.047619048",3,0,"0.6","0.8","1.9","1.5","1.2",0,"0.2",1,"0.1",0,"0.9","0.8",1,"0.2","1.5","1.1","22.3","80.8","0.3","0.4",0,"No"
0,8,1,"0.210526316","0.026315789",4,0,"1.6","3.3","0.9","0.7","1.2",0,"1.3","0.4","0.1",2,"0.9","0.5","1.4","0.5","1.7","1.8","26.6","68.9","0.4","0.1","0.1","No"
