Apps,SubIn,Goals,Assists,AverageGoalspermatch,AverageAssistspermatch,Yellow,Red,SpG,AW,Tackle,Int,Fouls,OffWon,Clr,WasDribbled,BlkShots,OG,KeyPasses,Dribbles,Fouled,Offs,Disp,Trn,Avg.Passes,"PassSuc%",Crosses,LB,TB,"Ballond'OrNominee"
42.00,0.00,37.00,11.00,0.880952381,0.2619047619,5.00,0.00,5.6,1.2928571429,0.2,0.330952381,0.630952381,0.00,0.469047619,0.2928571429,0.130952381,0.00,1.2238095238,0.9928571429,1.7238095238,1.2,1.6095238095,1.7928571429,28.2095238095,82.1357142857,0.3619047619,0.369047619,0.0619047619,Yes
41.00,2.00,48.00,11.00,1.1162790698,0.2558139535,6.00,0.00,5.05853659,0.1780487805,0.787804878,0.156097561,0.443902439,0.00,0.00,0.5317073171,0.1,0.00,2.256097561,3.5682926829,2.2780487805,0.1219512195,2.6,1.4,49.6073170732,80.4634146341,0.3658536585,2.7658536585,0.556097561,Yes
39.00,0.00,17.00,19.00,0.4358974359,0.4871794872,11.00,1.00,3.2,0.3692307692,1.4153846154,0.2769230769,1.2461538462,0.00,0.1230769231,0.6384615385,0.00,0.00,2.9769230769,5.6,4.0615384615,0.5846153846,2.9846153846,2.7846153846,50.7,76.1076923077,2.1538461538,2.0615384615,0.3692307692,Yes
37.00,3.00,4.00,0.00,0.1,0.00,8.00,0.00,0.64054054,1.09189189,1.2081081081,2.0108108108,0.7810810811,0.4594594595,3.4189189189,0.7189189189,0.4297297297,0.00,0.3297297297,0.1,0.6297297297,0.0702702703,0.1702702703,0.2594594595,64.2081081081,86.6648648649,0.1,7.9891891892,0.00,Yes
23.00,13.00,11.00,8.00,0.3055555556,0.2222222222,5.00,0.00,1.14347826,0.2,1.4043478261,0.5130434783,0.6434782609,0.00,0.0434782609,1.0347826087,0.00,0.00,1.1565217391,1.9956521739,1.5956521739,0.1217391304,1.4565217391,1.4086956522,41.3347826087,89.747826087,0.2782608696,1.6130434783,0.2347826087,Yes
23.00,15.00,21.00,8.00,0.5526315789,0.2105263158,2.00,0.00,1.82608696,0.247826087,0.247826087,0.1260869565,0.2739130435,0.00,0.1739130435,0.2,0.00,0.00,0.9956521739,1.3347826087,0.7739130435,0.8,1.1,1.8739130435,11.1826086957,75.9086956522,0.2,0.2739130435,0.0260869565,Yes
36.00,0.00,16.00,5.00,0.4444444444,0.1388888889,3.00,0.00,2.1,0.6,0.5,0.8,0.5,0.00,0.1,0.4,0.00,0.00,2.4,4.00,2.8,0.2,1.7,2.00,48.6,84.2,0.5,3.2,0.1,Yes
33.00,3.00,1.00,3.00,0.0277777778,0.0833333333,4.00,0.00,0.9,0.4,1.3333333,1.96666666,0.9333333,0.00,0.36666666,0.8,0.1666666,0.00,1.266666666,1.96666666,1.5,0.00,1.23333333,0.86666666,58.73333333,89.16666666,0.4333333,3.9,0.00,Yes
36.00,6.00,15.00,7.00,0.3571428571,0.1666666667,3.00,0.00,2.6777777777,0.1,0.61111111,0.61666666,0.72777777,0.00,0.00,0.683333333,0.072222222,0.00,1.7611111111,2.277777777,2.005555555,0.37222222,1.905555555,2.00,35.95,85.4555555,0.84444444,2.37222222,0.3,Yes
37.00,4.00,2.00,12.00,0.0487804878,0.2926829268,3.00,0.00,1.00810811,0.3297297297,1.7378378378,1.5675675676,0.5702702703,0.2891891892,1.0189189189,1.3,0.1297297297,0.00,1.6783783784,1.7567567568,0.8108108108,0.1,0.7810810811,1.0297297297,51.0513513514,82.2540540541,1.2513513514,3.4783783784,0.0702702703,Yes
35.00,0.00,1.00,1.00,0.0285714286,0.0285714286,9.00,0.00,0.8,0.5,3.6,2.4,1.5,0.1,1.2,1.3,0.1,0.00,0.6,1.00,0.4,0.00,0.8,1.3,60.6,88.8,0.00,3.9,0.1,Yes
43.00,1.00,32.00,15.00,0.7272727273,0.3409090909,10.00,0.00,3.16976744,0.3627906977,0.5837209302,0.2790697674,1.088372093,0.00,0.6790697674,0.3255813953,0.0790697674,0.00,1.5906976744,0.8744186047,1.3837209302,1.4953488372,0.9627906977,2.08372093,24.9209302326,74.1302325581,0.1581395349,0.9,0.0790697674,Yes
39.00,0.00,8.00,2.00,0.2051282051,0.0512820513,12.00,1.00,1.21538,2.643589744,1.7256410256,2.169230769,1.1717948718,0.6,3.5564102564,0.487194872,0.5282051282,2.00,0.2564102564,0.2153846154,1.158974359,0.1,0.1846153846,0.443589744,61.5512820513,89.2615384615,0.0564102564,5.358974359,0.00,Yes
28.00,3.00,13.00,7.00,0.4193548387,0.2258064516,2.00,0.00,3.4,0.2,1.1,0.6,0.6,0.00,0.2,1.5,0.00,0.00,2.1,2.3,1.2,0.1,1.8,1.8,45.2,83.9,1.2,2.3,0.2,Yes
34.00,9.00,33.00,11.00,0.7674418605,0.2558139535,7.00,0.00,4.00588,0.135294118,0.6823529412,0.25941176,1.3411764706,0.00,0.3,0.4882352941,0.1352941176,1.00,1.5117647059,1.5411764706,1.6529411765,0.5176470588,0.9,1.629411765,22.9352941176,76.6705882353,0.1647058824,0.5882352941,0.1823529412,Yes
39.00,3.00,7.00,19.00,0.1666666667,0.4523809524,5.00,0.00,2.29231,0.384615385,1.4153846154,0.692307692,1.00,0.00,0.1692307692,1.7076923077,0.00,0.00,2.6846153846,1.3846153846,1.1153846154,0.1153846154,1.3,1.538461538,49.4692307692,82.3230769231,2.0692307692,2.3307692308,0.4461538462,Yes
40.00,2.00,38.00,6.00,0.9047619048,0.1428571429,5.00,0.00,4.2325,1.76500,0.3225,0.3775,1.2450000,0.00,0.61,0.2450000,0.00,0.00,0.9675,0.91,1.61,0.845000,0.1635000,2.115000,21.3650000,75.1550000,0.0775,0.4775,0.04500,Yes
34.00,1.00,31.00,7.00,0.8857142857,0.2,4.00,0.00,3.74118,1.485294118,0.6882352941,0.085294118,0.8558823529,0.00,0.6823529412,0.3147058824,0.00,0.00,1.5441176471,1.2294117647,1.5735294118,0.6617647059,1.6264705882,2.797058824,20.8852941176,72.7176470588,0.2323529412,0.8382352941,0.00,Yes
38.00,7.00,37.00,9.00,0.8222222222,0.2,4.00,0.00,4.70789,3.563157895,0.2736842105,0.313157895,1.3210526316,0.00,0.9,0.213578947,0.1394736842,0.00,1.1078947368,1.0578947368,1.3473684211,0.6736842105,1.5078947368,1.907894737,22.2736842105,70.4368421053,0.0868421053,0.9131578947,0.1,Yes
48.00,0.00,22.00,10.00,0.4583333333,0.2083333333,3.00,0.00,2.42500,1.175000,1.425000,0.575000,0.75,0.00,0.4,0.7,0.15,0.00,1.675000,0.6,0.95,0.6250000,1.2,1.27500,37.775000,78.65,0.15,1.35,0.12500,Yes
26.00,1.00,13.00,5.00,0.4814814815,0.1851851852,4.00,0.00,2.1,1.6,0.9,0.3,1.2,0.00,0.4,0.7,0.00,0.00,1.6,2.5,2.00,0.5,2.7,2.2,37.8,77.5,0.3,0.9,0.00,Yes
39.00,2.00,4.00,13.00,0.0975609756,0.3170731707,9.00,0.00,1.01538,0.512820513,2.4025641026,1.1,0.8717948718,0.00,0.3,1.5,0.1282051282,0.00,2.8,0.8307692308,1.3692307692,0.00,0.5564102564,0.497435897,71.4282051282,92.5384615385,1.6846153846,7.8743589744,0.1,Yes
